,newid,Id,ActivityDate,TotalSteps,activityinSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,SleepStart,SleepEnd,HoursSlept
350,7086361926_2016-04-27,7086361926,2016-04-27,11107,Active,8.34000015258789,5.63000011444092,0.180000007152557,2.52999997138977,55,6,145,206,829,2693,469,479,97.91231732776617,00:00:00,06:44:00,7.82
351,7086361926_2016-04-28,7086361926,2016-04-28,11584,Active,7.80000019073486,2.78999996185303,1.63999998569489,3.35999989509583,54,48,161,263,810,2862,354,367,96.45776566757493,00:43:00,06:49:00,5.9
352,7086361926_2016-04-30,7086361926,2016-04-30,14560,Highly active,9.40999984741211,3.11999988555908,1.03999996185303,5.23999977111816,42,17,308,367,584,2995,485,489,99.18200408997954,01:30:00,09:38:00,8.08
353,7086361926_2016-05-01,7086361926,2016-05-01,12390,Active,8.06999969482422,2.29999995231628,0.899999976158142,4.84999990463257,30,15,258,303,685,2730,388,407,95.33169533169533,00:28:00,23:59:00,6.47
354,7086361926_2016-05-02,7086361926,2016-05-02,10052,Active,6.80999994277954,3.48000001907349,0.660000026226044,2.66000008583069,66,26,139,231,737,2754,440,459,95.86056644880175,00:00:00,23:59:00,7.33
355,7086361926_2016-05-03,7086361926,2016-05-03,10288,Active,6.76000022888184,2.74000000953674,0.850000023841858,3.16000008583069,57,36,152,245,761,2754,456,461,98.91540130151843,00:00:00,23:59:00,7.6
356,7086361926_2016-05-04,7086361926,2016-05-04,10988,Active,8.3100004196167,5.28000020980835,0.119999997317791,2.90000009536743,45,12,135,192,843,2655,420,436,96.3302752293578,00:00:00,06:44:00,7.0
357,7086361926_2016-05-06,7086361926,2016-05-06,12461,Active,8.38000011444092,3.8199999332428,1.42999994754791,3.11999988555908,84,35,154,273,834,2924,322,333,96.69669669669669,01:15:00,06:47:00,5.37
358,7086361926_2016-05-07,7086361926,2016-05-07,12827,Highly active,8.47999954223633,1.46000003814697,2.32999992370605,4.67999982833862,20,42,209,271,621,2739,530,548,96.71532846715328,00:29:00,09:36:00,8.83
359,7086361926_2016-05-08,7086361926,2016-05-08,10677,Active,7.09999990463257,2.30999994277954,1.52999997138977,3.25,32,27,147,206,695,2534,481,510,94.31372549019608,00:06:00,23:59:00,8.02
360,7086361926_2016-05-09,7086361926,2016-05-09,13566,Highly active,9.10999965667725,4.26000022888184,1.71000003814697,3.11999988555908,67,50,171,288,743,2960,427,438,97.48858447488584,00:00:00,06:48:00,7.12
361,7086361926_2016-05-11,7086361926,2016-05-11,9572,Somewhat active,6.51999998092651,2.89000010490417,1.38999998569489,2.23000001907349,57,40,128,225,757,2735,451,463,97.40820734341253,00:00:30,23:59:30,7.52
362,7086361926_2016-05-12,7086361926,2016-05-12,3789,Sedentary,2.55999994277954,0.379999995231628,0.270000010728836,1.88999998569489,5,4,58,67,343,1199,444,457,97.15536105032822,00:00:30,06:45:30,7.4
363,8053475328_2016-04-20,8053475328,2016-04-20,15108,Highly active,12.1899995803833,9.57999992370605,0.230000004172325,2.38000011444092,89,5,158,252,695,3043,486,493,98.58012170385395,02:29:00,10:41:00,8.1
364,8053475328_2016-04-23,8053475328,2016-04-23,22359,Highly active,17.1900005340576,12.539999961853,0.629999995231628,4.01999998092651,125,14,223,362,741,3554,331,337,98.21958456973294,03:36:00,09:12:00,5.52
365,8053475328_2016-05-07,8053475328,2016-05-07,19769,Highly active,15.6700000762939,12.4399995803833,0.879999995231628,2.34999990463257,121,20,148,289,1076,3331,74,75,98.66666666666667,19:49:00,21:03:00,1.23
366,8378563200_2016-04-12,8378563200,2016-04-12,7626,Somewhat active,6.05000019073486,0.829999983310699,0.709999978542328,4.5,65,15,156,236,723,3635,338,356,94.9438202247191,00:00:00,23:59:30,5.63
367,8378563200_2016-04-13,8378563200,2016-04-13,12386,Active,9.81999969482422,4.96000003814697,0.649999976158142,4.21000003814697,116,14,169,299,680,4079,447,487,91.78644763860369,00:00:30,23:59:00,7.45
368,8378563200_2016-04-14,8378563200,2016-04-14,13318,Highly active,10.5600004196167,5.61999988555908,1.02999997138977,3.91000008583069,123,21,174,318,699,4163,424,455,93.18681318681318,00:00:00,23:59:00,7.07
369,8378563200_2016-04-15,8378563200,2016-04-15,14461,Highly active,11.4700002670288,4.90999984741211,1.14999997615814,5.40999984741211,60,23,190,273,729,3666,513,533,96.24765478424015,00:00:00,23:59:00,8.55
370,8378563200_2016-04-16,8378563200,2016-04-16,11207,Active,8.89000034332275,5.36999988555908,1.07000005245209,2.44000005722046,64,21,142,227,563,3363,611,689,88.67924528301887,00:00:00,23:59:00,10.18
371,8378563200_2016-04-17,8378563200,2016-04-17,2132,Sedentary,1.69000005722046,0.0,0.0,1.69000005722046,0,0,93,93,599,2572,525,591,88.83248730964468,00:00:00,23:59:00,8.75
372,8378563200_2016-04-18,8378563200,2016-04-18,13630,Highly active,10.8100004196167,5.05000019073486,0.560000002384186,5.19999980926514,117,10,174,301,720,4157,398,451,88.24833702882484,00:00:00,23:59:00,6.63
373,8378563200_2016-04-19,8378563200,2016-04-19,13070,Highly active,10.3599996566772,5.30000019073486,0.879999995231628,4.17999982833862,120,19,154,293,737,4092,387,421,91.92399049881234,00:00:00,23:59:30,6.45
374,8378563200_2016-04-20,8378563200,2016-04-20,9388,Somewhat active,7.44000005722046,2.23000001907349,0.439999997615814,4.78000020980835,82,8,169,259,763,3787,381,409,93.15403422982885,00:00:30,23:59:00,6.35
375,8378563200_2016-04-21,8378563200,2016-04-21,15148,Highly active,12.0100002288818,6.90000009536743,0.819999992847443,4.28999996185303,137,16,145,298,677,4236,396,417,94.96402877697841,00:00:00,23:59:00,6.6
376,8378563200_2016-04-22,8378563200,2016-04-22,12200,Active,9.67000007629395,4.90999984741211,0.589999973773956,4.17999982833862,113,12,159,284,769,4044,441,469,94.02985074626866,00:00:00,23:59:00,7.35
377,8378563200_2016-04-23,8378563200,2016-04-23,5709,Low active,4.53000020980835,1.51999998092651,0.519999980926514,2.48000001907349,19,10,136,165,740,2908,565,591,95.60067681895093,00:00:00,23:59:30,9.42
378,8378563200_2016-04-24,8378563200,2016-04-24,3703,Sedentary,2.94000005722046,0.0,0.0,2.94000005722046,0,0,135,135,734,2741,458,492,93.08943089430895,00:00:30,23:59:30,7.63
379,8378563200_2016-04-25,8378563200,2016-04-25,12405,Active,9.84000015258789,5.05000019073486,0.870000004768372,3.92000007629395,117,16,141,274,692,4005,388,402,96.51741293532339,00:00:30,23:59:00,6.47
